事件編號,address,camera_direction,Haya_gen,GPS緯度,GPS經度
100,觀音區大觀路二段與六合路口,北上車道,50,25.0438264,121.1383399
101,觀音區大觀路與文化路(桃115縣道)岔路口,南下車道,70,25.025287,121.086891
102,觀音區濱海路保生段277號前,南下車道,70,25.0169679,121.052455
103,觀音區成功路與忠孝路口,往觀音工業區方向,50,25.0551195,121.1336655
104,新屋區濱海路（台15線）與中山西路口,北上車道,70,24.988993,121.030853
105,新屋區濱海路（台15線）與中山西路口,南下車道,70,24.988993,121.030853
106,新屋區中山西路三段62號前,往永安漁港方向,50,24.9875375,121.0448349
107,新屋區中山東路一段458號前,往中壢方向,50,24.9722646,121.1251651
108,新屋區臺66線（8.46K）與桃82線岔路口（東向西）,往高鐵方向,80,24.9877717,121.1229627
109,新屋區臺66線（8.44K）與桃82線岔路口（西向東）,往大溪方向,80,24.9877717,121.1229627
110,新屋區台15線59K處,往北方向,70,24.955013,121.011966
111,楊梅區中山南路崩坡段929號前,南下車道,70,24.9014889,121.122724
112,楊梅區民富路二段208號前,往楊梅方向,50,24.9242635,121.1124506
113,楊梅區梅獅路與文化街岔路口,往楊梅方向,40,24.905577,121.177747
